"Ferlatte et al.","2015","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,,,,,"anxiety",,,,,,,,,,,,,"tobacco_use",,,"sexual_risk",,,"STI","HIV",,,,,,,,,,,,,,,,,,,"Criteria","Being on medication for depression in the last 12 months","NULL","stimulants","ecstasy","hallucinogens",,"depressants",,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,"medication",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Self-report of STI diagnosis in the past 12 months","Self-report of HIV diagnosis",,,"Frequent consumption (daily/regular) of tobacco in the past 12 months",,,,,"serodiscordant_CAS",,,,,,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_suicide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_ideation","outcome_attempts",,"Prior to the last 12 months, within the last 12 months or both",,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"8382",,"No",,"No",,"Syndemic theory is appropriate for studying suicide ideation and attempts among MSM.  Notably, those reporting 3 syndemic conditions had 6.9 times the odds of suicide ideation and 16,29 times the odds of suicide attempts, mainly driven by anxiety and depression.","minority_stress",,,,,
"Batchelder et al.","2019","USA","Cross-sectional",,"Yes",,,,,,,,"MSM_CSA",,,,,"No",,,,,,"depression",,"PTSD",,,,,"anxiety",,,,,,,,,,,,,,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV","NULL",,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV","Scale",,,,,,,,,,,,,,,,,,,,,,,,"social_phobia","panic_disorder","GAD","Criteria",,,,"DSM-IV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,"outcome_healthcare","outcome_STI",,,,,,,,,,,,,"Criteria",,,,,,,,,"outcome_PrEP_CAS",,,,,,,,"Past 3 months",,,,,,,,,,,,,,"chlamydia","gonorrhea","syphilis",,,,,,"Laboratory-confirmed",,,,,,,"ER_visit",,,,,,,,,,"score",,,,,"product_term",,,,,,,,,"290","37.95","No",,"No",,"There is an additive relationship between the number of psychiatric diagnoses and ER visits as well as condomless anal sex. No relationship was found between psychiatric diagnoses and STD. No interaction was found.",,,,,,
"Wu Elwin","2018","USA","Cross-sectional",,"Yes",,,"BMSM",,,,,,,,,,"No",,,,,,,"substance_use",,"IPV","binge",,,,,"CSA",,,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,,,,,,,,,,,,,,,,"stimulants",,,"marijuana",,,"opioids",,,"Past 3 months",,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV","gay-related_IPV","HIV-related_IPV",,"Past month","At least one episode","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any sexual experience before 11 years old, any unwanted sexual experience between 11 years old and 17 years old or any sexual experience with someone at least 4 years older before 17 years old",,,,,,,,,,,,,,,,,,,,,,,"number_partners","CAS",,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"1002","35.8","No",,"No",,"CSA is an important antecedent in the formation of a syndemic in black MSM in the USA",,,,,,
"Brandstrom and Pachankis","2018","Sweden","Population-based cohort study",,"No",,,,,,,,,,,,,"Yes","MSMW_dis",,,,,"depression",,,,"binge","suicide",,,,,,,,,,,,,,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,"Criteria","Being on medication for depression in the last 12 months","NULL",,,,,,,,,,,,,,"physical",,,,,,"Lifetime",,,,,,,,,,"More than one per week, every week","Past 12 months",,"suicide_attempts",,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_HIV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HIV diagnosis by a clinician",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,"O_E",,,,,,,,"831",,"No",,"No",,"Sexual minority men are more likely to be diagnosed with HIV and to suffer from psychosocial conditions. However, the clustering of syndemic conditions and HIV was only found for gay men, not bisexual men",,,,,,
"Safren et al.","2018","USA","Longitudinal",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp","anxiety",,"CSA",,,"AUD",,,,,,,,,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-9","5",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Lifetime",,,,,,,,"social_phobia",,,"Scale","SPIN",,,,,,,,,"19","Scale","Kalichman Sexual Compulsivity Scale","20",,"Definition","Finkelhor definition",,,,,,"CAGE","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Any symptom on the MINI 6 for SUD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,,,,,"outcome_casual_CAS",,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","score",,,,,,,,"mediation",,,,,,"197","37","No",,"No",,"Cross-sectional analysis showed an indirect effect of syndemic conditions on condomless sex through lowered condom self-efficacy. However, a full longitudinal model was not supported by the data as changes in condom self-efficacy was not associated with changes in condomless sex",,"social_cognitive",,,,
"Harkness et al.","2018","USA","Longitudinal",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression","substance_use","PTSD",,"binge",,,"anxiety",,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-9","Having at least 5 positive items in addition to the depressed mood and/or loss of interest items","stimulants",,,,,,,,,"Past 3 months","Scale","SPAN Self-Report Screen","5",,,,,,,,,,,,,,,,,"At least one per week, every week","Past 3 months",,,,,,"social_phobia","panic_disorder","GAD","Scale",,"MINI-SPIN","PHQ",,,,,,,,,,,,"Definition","Finkelhor definition",,"At least 3 categories of substance use","Marijuana included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_adherence",,,,,,,,,,,,,,,,,,,,,,"Creation of an adherence factor based on an EFA using the 7 items of the ACTG adherence questionnaire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12","score",,,,,,,,,,,,,,"390",,"No",,"No",,"Participants' average syndemic score over the 12 months period predicted their non-adherence scores but not the time-specific changes in their average level. Furthermore, the effects of syndemic conditions on viral load may be mediated by non-adherence.",,,,,,
"Morrison et al.","2018","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,"sex_comp",,,,,,"AUD",,,,,,,,,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,,,,,,,,"AUDIT-10","8",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","DUDIT","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Scale","outcome_HIRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,"product_term",,,,,,,,,"203",,"No",,"No",,"MSM seeking PEP in this sample were affected by a high burden of syndemic conditions. Furthermore, the number of syndemic conditions in an individual was associated with an increased HIV risk",,,,,,
"Tomori et al.","2018","India","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use",,"IPV",,,,,,"CSA",,,"AUD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","PHQ-9","10","stimulants",,,,,,"opioids",,,"Past 6 months",,,,,,,,,,,"Criteria","physical_IPV",,,,,,,"Lifetime",,,,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 16 years old",,,,,,"AUDIT-10","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,"outcome_STI",,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,"syphilis",,,,,,"Laboratory-confirmed",,,,,,,,,,,,,,,,,"score",,"RERI",,,,,,,,,,,,"11771",,"No",,"No",,"There is an additive relationship between the count of syndemic conditions and condomless sex but not with syphilis. As for interaction, RERI were significant only for IPV and depression for condomless anal sex and for alcohol dependence and substance use for syphilis",,,,,,
"Card et al.","2018","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,"polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","HADS","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At least 3 categories of substance use","Marijuana included","Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moderation","mediation",,,,,,"719",,"No",,"No",,"AUDIT scores were not associated with risky sexual behaviors. The association between polysubstance use and depression was associated with greater odds of serodiscordant condomless anal sex. 18,2% of the effect of depression on serodiscordant CAS was mediated by polysubstance use.",,,,,,
"Ferlatte et al.","2018","Canada","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,,"substance_use",,"IPV","binge","suicide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"distress",,,,,,,,,,"stimulants","ecstasy","hallucinogens",,"depressants",,,,,"Past 12 months",,,,,,,,,,,"Criteria","physical_IPV",,,"psychological_IPV",,,,"Past 12 months","More than one per week, every week","Past 12 months","suicidal_thoughts","suicide_attempts",,,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Having talked to a healthcare provider about depression or anxiety in the past 12 months",,,,,,,,,,,,,,,,"outcome_STI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"syphilis",,,,,,"Self-reported","Past 12 months",,,,,,,,,,,,,,,,"score",,"RERI",,,,,,,,,,,,"7872",,"No",,"No",,"Healthcare discrimination, a cumulative count of syndemic and a cumulative count of antigay stigma were associated with syphilis diagnosis in the past 12 months. The RERI for cumulative count of syndemic conditions was not significant.  IPV and substance use were associated with syphilis, after adjusting for other syndemic conditions.",,,,,,
"Carrico et al.","2018","USA","Intact group design",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,"CSA",,,,,,,,,,,,,,,"substance_use_disorder",,,,,"sleep_disturbance",,,,,,,,,,,"childhood",,,,,,"Scale","CESD","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CTQ Sexual Abuse subscale","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV",,,"Score equal or greater than 8 on the Pittsburgh Sleep Quality index",,,,,,,,,,,,,,,,,,,,,,"CTQ Physical Abuse subscale",,,,,,,,,,,,,,,,"outcome_HPA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moderation",,,,,,,"309","36.8","Yes","The combined effects of HIV and methamphetamine are most detrimental for HPA axis functioning while the HPA axis is thought to play an important role in the reinforcing effects of stimulants","No",,"In meth-using MSM living with HIV,  there is a disaggregation of the functional relationship between ACTH and cortisol, compared to HIV-negative, non-meth-using men",,,,,,
"Wang et al.","2018","China","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,"sex_comp","anxiety",,,,,,,,,,,,,,,,,,"social_support",,,,,"loneliness","subordination","esteem",,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GAD","Scale",,,,,,"GAD-7",,,,"10","Scale","Kalichman Sexual Compulsivity Scale","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Multiple Scales of Perceived Social Support","Below 50","Score below 15 on the Rosenberg Self-Esteem Scale","Score greater than 92 on the Involuntary Subordination Questionnaire","Score greater than 18 on the UCLA Loneliness Scale (ULS-8)",,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"547","30.5","No",,"No",,"Syndemic conditions are additively associated with multiple sex partners",,,,,,
"Muñoz-Laboy et al.","2018","USA","Cross-sectional",,"Yes",,,,,,,,,"LMSMW",,,,"No",,,,,,"depression",,,,,,,,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Depression subscale of the Brief Symptom Inventory","0.8 (raw score)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any sexual experience before 13 years old with someone at least 4 years older",,"At least 3 categories of substance use","Marijuana included","Past 4 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,"outcome_STI",,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,"outcome_CVS",,,,,,"Past 2 months",,,,,,,,,,,,,,,,"syphilis","hepatitis_B","hepatitis_C","herpes","warts",,"Self-reported","Lifetime",,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"148",,"No",,"No",,"Among this sample of LMSMW, having at least 2 syndemic conditions predicted lifetime STI and condomless receptive anal sex but not condomless insertive anal sex nor condomless vaginal sex",,,,,,
"Parsons et al.","2017","USA","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,"IPV",,,"sex_comp",,,"CSA","polysubstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,"Scale",,,,,,,"CTS2","Responding yes to at least one item",,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,"Definition","Having experienced unwanted sexual activity with someone older at 16 years old or younger",,"At least 3 categories of substance use","Marijuana included","Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,,,,,"outcome_casual_CAS",,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"1071","40.2","No",,"No",,"Among a U.S. national sample of MSM, the sum of syndemic conditions was associated with greater likelihood of reporting sexual risk behaviours. Furthermore, MSM living in non-urban areas were more likely to experience sexual compulsivity.","minority_stress",,,,,
"Wang et al.","2017","China","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,"sex_comp","anxiety",,,,,,,,,,,,,,,,,,,,,,,"loneliness",,"esteem",,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GAD","Scale",,,,,,"GAD-7",,,,"10","Scale","Personal 10-items scale","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Score below 15 on the Rosenberg Self-Esteem Scale",,"Score greater than 18 on the UCLA Loneliness Scale (ULS-8)",,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"547","30.5","No",,"No",,"In this sample of MSM living in China, a significant proportion of respondent had at least two syndemic conditions which was associated with higher odds of engaging in condomless anal sex",,,,,,
"Hart et al.","2017","Canada","Longitudinal",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,"CSA","polysubstance",,,,,,,,,"discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CTQ Sexual Abuse subscale","5","More than one category of substance use","Marijuana not included","Past 3 months",,,,,,,,,,,,,,,,"Score greater than 1 on the Heterosexist Harassment, Rejection and Discrimination Scale (HHRDS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,,,,,"outcome_serodiscodant_CAS",,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","score",,,,,,,,,,,,,,"470",,"No",,"No",,"Psychosocial strengths were associated with a lesser odds of engagement in condomless anal sex, despite the presence of syndemic conditions. Psychosocial strenghts may operate in the same way as syndemic conditions but in an opposite direction.","minority_stress",,,"resilience",,
"Mustanski et al.","2017","USA","Longitudinal",,"Yes",,"YMSM",,,,,,,,,,,"Yes",,"BMSM_dis","LMSM_dis",,,"depression",,,"IPV","binge","suicide",,,,"CSA","polysubstance",,"AUD",,,,,,,"discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Clinical diagnosis based on the DSM-IV",,,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,,,,,"Past 6 months","At least one episode","Past 6 months","suicidal_thoughts",,,,"Past 6 months",,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 13 years old",,"More than one category of substance use","Marijuana included","Past 6 months",,"Clinical diagnosis based on the DSM-IV",,,,,,,,,,,,,,"Having been subjected to physical violence or threats due to the respondent's sexual orientation in the past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,"outcome_HIV",,,,,,"outcome_STI",,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past 6 months",,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,"chlamydia","gonorrhea",,,,,,,"Laboratory-confirmed",,,,,,,,,,,,,,,,"12",,,,,,,,,,"SEM",,,,,"450","18.9","No",,"No",,"The study found evidence of a predictive ability of syndemic factors on sexual risk behaviors but there were no association with HIV/STI incidence.  Furthermore, Black YMSM had both the highest seroconversion rate in the sample and a lesser burden in syndemic conditons compared to White and Latino YMSM, questioning the usefulness of syndemic theory on Black MSM or the need to take into account other syndemic conditions to explain the high rates of HIV acquisition among Black MSM",,,,,,
"Friedman et al.","2016","USA","Longitudinal",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression",,,,,,,,,,"polysubstance",,,,,,,,,,,,,"sexual_risk",,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"More than one category of substance use",,"Past 6 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,"casual_CAS","Not specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_adherence",,,,,"outcome_VL",,,,,,,,,,,,,,,,,"Self-reported adherence ",,,,,,,,,,,,,,,,,,,,,,,,"> 50 HIV RNA copies/mL, assessed via laboratory confirmation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72","score",,,,,,,"moderation",,,,,,,"712",,"No",,"No",,"Among MSM living with HIV, functional social support moderates the effect of syndemic conditions on viral load suppression, providing a significant protective effect",,,,"resilience",,
"Semple et al.","2017","Mexico","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression","substance_use","PTSD",,,,"sex_comp",,,"CSA",,,"AUD",,,,,,,"discrimination",,,,"sexual_risk",,,,,,,,,,"hostility",,,,,,,,,,,,,"Scale","BDI-II","Continuous","stimulants",,,"marijuana",,,"opioids",,,"Past month","Scale","The Sexual Violence Trauma Index subscale of the TSC-40","Continuous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","Continuous",,"Definition","Any unwanted sexual experience before 18 years old",,,,,,"AUDIT-10","Continuous",,,,,,,,,,,,,"The Experiences of Homophobia scale",,,"number_partners","CAS",,,,,,,,,"Past 2 months",,,,,,,,,,,,"Hostility subscale of the Brief Symptoms Inventory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_violence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frequency of rape, sexual molestation and/or sexual harrassment in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"201","29.7","No",,"No",,"There is a high reported frequency of sexual violence among MSM in Tijuana. Furthermore, the authors suggest a model of co-occurring psychosocial factors such as CSA, adult homophobia, depressive symptoms and hostility that increase the odds of sexual violence experiences among MSM",,,,,,
"Chakrapani et al.","2017","India","Cross-sectional",,"No",,,,,,,,,,,,,"No",,,,,,"depression",,,,,,,,,,,,,,,,,"alcohol_use",,,,,,,,,,,"violence",,,,,,,,,,,,,,,,,,"Scale","BDI-FS","7",,,,,,,,,,,,,,"physical",,"sexual_police","physical_police",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frequency_intensity",,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,,,,,,,,,,,,,,"Past month",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"300","30","No",,"No",,"In this sample of Indian MSM, there was a positive relationship between the number of syndemic conditions and sexual risk taking. This relationship was moderated by resilient coping but not by social support.",,,,"resilience",,
"Martinez et al.","2016","USA","Cross-sectional",,"Yes",,,,"LMSM",,,,,,,,,"No",,,,,,"depression",,,,"binge",,,,,"CSA",,,,,,,,,,"discrimination",,,,,,,,,,,,,,,,,,,,,,,,,,,"Scale","CESD-10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"At least one episode","Past month",,,,,,,,,,,,,,,,,,,,,,,,"Definition","Any unwanted sexual experience before 17 years old",,,,,,,,,,,,,,,,,,,,"The Experiences of Discrimination scale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_sexual_risk",,,,,,,,,,,,,,,,,,,,,"Criteria",,"outcome_CAS",,"outcome_number_partners",,,,,,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"176","33","No",,"No",,"90% of this sample of Latino MSM reported at least one syndemic condition and having a greater number of syndemic conditions was associated with higher odds of CAS and multiple sexual partners",,,,,,
"Beymer et al.","2016","USA","Longitudinal",,"Yes",,,,"LMSM",,,,,,,,,"No",,,,,,,"substance_use",,"IPV",,,,,,,,,,,,,,,,,,,,"sexual_risk",,,"STI",,,,,,,,,,,,,,,,,,,,,,,"stimulants","ecstasy",,,,,,"inhalants",,"Past 12 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laboratory-confirmed diagnosis of Chlamydia, Gonorrhea and/or Syphilis or history of STI",,,,,,"number_partners","CAS",,,,,,,,,"Past 3 months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_HIV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laboratory-confirmed test or quick testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66",,,,,,,,,,,,,,,"3111",,"No",,"No",,"In this sample of Latino MSM, predictors of HIV seroconversion included history of STI, condomless anal sex, Methamphetamine Use, Central American birthplace, experience of IPV and same ethnicity of last sexual partner.",,,,,,
"Byg et al.","2016","USA","Cross-sectional",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression",,,"IPV",,,,,,,,,,,,,,,,,,,,,"substance_use_disorder",,,,,,,,,,,,,,,,,,,,,,"Criteria","Medical diagnosis of depression in the EMR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Criteria","Mention of alcohol abuse, abuse of illegal drugs and/or abuse of prescription drugs in the EMR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"outcome_glycemia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88",,"No",,"No",,"Poorer glycemic control was associated with a detectable viral load, high triglycerides and substance use",,,,,,
"Biello et al.","2016","Latin America","Cross-sectional",,"Yes",,,,,,"HIVMSM",,,,,,,"No",,,,,,"depression",,,"IPV",,"suicide","sex_comp",,,"CSA",,,"AUD",,,,,,,,,,,,,,,,,,,,,,"chemsex",,,,,,,,,,,,"Scale","CESD-10","10",,,,,,,,,,,,,,,,,,,,,"Criteria","physical_IPV","sexual_IPV",,"psychological_IPV",,,,"Past 5 years",,,"suicidal_thoughts",,,,"Past month",,,,,,,,,,,,,,,"Scale","Kalichman Sexual Compulsivity Scale","24",,"Definition","Any unwanted sexual experience before 18 years old",,,,,,"CAGE","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chem_stimulants","chem_ecstasy","chem_depressants","chem_ketamine","chem_opioids",,,,"Past 3 months",,,,,,,,,,,"outcome_adherence",,,,,,,,,"outcome_healthcare",,,,,"outcome_HIV_care",,,,,,,,"Self-reported adherence ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"score",,,,,,,,,,,,,,"2020","34.9","No",,"No",,"Experimenting syndemic conditions was associated with less engagement in HIV-related care, uptake of ART and adherence to ART among this sample of HIV positive MSM living in Latin America",,,,,,
