refid,title,main_author,publication_year,country,design,outcome_name,hiv_related,subpopulation_studied,condition_name
61,High prevalence of syndemic health problems in patients seeking post-exposure prophylaxis for sexual exposures to HIV.,Morrison et al.,2018,Canada,Cross-sectional,Sexual risk behaviors,t,,Substance use disorder
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,STI diagnosis,f,,Depression
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Sexual risk behaviors,t,,Depression
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,STI diagnosis,f,,Substance use
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Sexual risk behaviors,t,,Substance use
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,STI diagnosis,f,,IPV
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Sexual risk behaviors,t,,IPV
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,STI diagnosis,f,,CSA
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Sexual risk behaviors,t,,CSA
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,STI diagnosis,f,,Alcohol Use Disorder
64,Is there synergy in syndemics? Psychosocial conditions and sexual risk among men who have sex with men in India.,Tomori et al.,2018,India,Cross-sectional,Sexual risk behaviors,t,,Alcohol Use Disorder
65,"The additive effects of depressive symptoms and polysubstance use on HIV risk among gay, bisexual, and other men who have sex with men.",Card et al.,2018,Canada,Cross-sectional,Sexual risk behaviors,t,,Depression
65,"The additive effects of depressive symptoms and polysubstance use on HIV risk among gay, bisexual, and other men who have sex with men.",Card et al.,2018,Canada,Cross-sectional,Sexual risk behaviors,t,,Polysubstance use
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,STI diagnosis,f,,Substance use
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,STI diagnosis,f,,IPV
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,STI diagnosis,f,,Binge drinking
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,STI diagnosis,f,,Suicidality
71,"An Application of Syndemic Theory to Identify Drivers of the Syphilis Epidemic Among Gay, Bisexual, and Other Men Who Have Sex With Men.",Ferlatte et al.,2018,Canada,Cross-sectional,STI diagnosis,f,,General mental distress
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Hypothalamic-pituitary-adrenal axis dysregulation,f,,Depression
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Hypothalamic-pituitary-adrenal axis dysregulation,f,,CSA
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Hypothalamic-pituitary-adrenal axis dysregulation,f,,Substance use disorder
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Hypothalamic-pituitary-adrenal axis dysregulation,f,,Sleep disturbance
73,"Short circuit: Disaggregation of adrenocorticotropic hormone and cortisol levels in HIV-positive, methamphetamine-using men who have sex with men.",Carrico et al.,2018,USA,Intact group design,Hypothalamic-pituitary-adrenal axis dysregulation,f,,Childhood abuse
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Depression
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Sexual compulsivity
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Anxiety
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Poor social support
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Loneliness
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Involuntary subordination
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Sexual risk behaviors,t,,Low self-esteem
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,STI diagnosis,f,Latino Men who have Sex with Men and Women,Depression
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,Sexual risk behaviors,t,Latino Men who have Sex with Men and Women,Depression
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,STI diagnosis,f,Latino Men who have Sex with Men and Women,CSA
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,Sexual risk behaviors,t,Latino Men who have Sex with Men and Women,CSA
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,STI diagnosis,f,Latino Men who have Sex with Men and Women,Polysubstance use
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,Sexual risk behaviors,t,Latino Men who have Sex with Men and Women,Polysubstance use
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Sexual risk behaviors,t,,Depression
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Sexual risk behaviors,t,,IPV
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Sexual risk behaviors,t,,Sexual compulsivity
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Sexual risk behaviors,t,,CSA
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Sexual risk behaviors,t,,Polysubstance use
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Sexual risk behaviors,t,,Depression
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Sexual risk behaviors,t,,Sexual compulsivity
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Sexual risk behaviors,t,,Anxiety
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Sexual risk behaviors,t,,Loneliness
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Sexual risk behaviors,t,,Low self-esteem
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Sexual risk behaviors,t,,Depression
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Sexual risk behaviors,t,,CSA
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Sexual risk behaviors,t,,Polysubstance use
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Sexual risk behaviors,t,,Discrimination
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,Depression
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,Depression
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,Depression
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,IPV
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,IPV
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,IPV
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,Binge drinking
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,Binge drinking
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,Binge drinking
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,Suicidality
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,Suicidality
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,Suicidality
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,CSA
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,CSA
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,CSA
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,Polysubstance use
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,Polysubstance use
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,Polysubstance use
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,Alcohol Use Disorder
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,Alcohol Use Disorder
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,Alcohol Use Disorder
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,STI diagnosis,f,Young MSM,Discrimination
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,HIV diagnosis,t,Young MSM,Discrimination
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Sexual risk behaviors,t,Young MSM,Discrimination
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Viral load,t,MSM living with HIV,Depression
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Depression
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Viral load,t,MSM living with HIV,Polysubstance use
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Polysubstance use
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Viral load,t,MSM living with HIV,Sexual risk behaviors
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Adherence to ART,t,MSM living with HIV,Sexual risk behaviors
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Depression
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Substance use
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,PTSD
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Sexual compulsivity
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,CSA
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Alcohol Use Disorder
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Discrimination
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Sexual risk behaviors
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Exposure to sexual violence,f,,Hostility
99,"Syndemics of depression, alcohol use, and victimisation, and their association with HIV-related sexual risk among men who have sex with men and transgender women in India.",Chakrapani et al.,2017,India,Cross-sectional,Sexual risk behaviors,t,,Depression
99,"Syndemics of depression, alcohol use, and victimisation, and their association with HIV-related sexual risk among men who have sex with men and transgender women in India.",Chakrapani et al.,2017,India,Cross-sectional,Sexual risk behaviors,t,,Alcohol use
99,"Syndemics of depression, alcohol use, and victimisation, and their association with HIV-related sexual risk among men who have sex with men and transgender women in India.",Chakrapani et al.,2017,India,Cross-sectional,Sexual risk behaviors,t,,Violence
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Depression
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Binge drinking
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,CSA
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,Latino MSM,Discrimination
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,HIV diagnosis,t,Latino MSM,Substance use
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,HIV diagnosis,t,Latino MSM,IPV
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,HIV diagnosis,t,Latino MSM,Sexual risk behaviors
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,HIV diagnosis,t,Latino MSM,STI
109,The Utility of a Syndemic Framework in Understanding Chronic Disease Management Among HIV-Infected and Type 2 Diabetic Men Who Have Sex with Men.,Byg et al.,2016,USA,Cross-sectional,Glycemic control,f,MSM living with HIV,Depression
109,The Utility of a Syndemic Framework in Understanding Chronic Disease Management Among HIV-Infected and Type 2 Diabetic Men Who Have Sex with Men.,Byg et al.,2016,USA,Cross-sectional,Glycemic control,f,MSM living with HIV,IPV
109,The Utility of a Syndemic Framework in Understanding Chronic Disease Management Among HIV-Infected and Type 2 Diabetic Men Who Have Sex with Men.,Byg et al.,2016,USA,Cross-sectional,Glycemic control,f,MSM living with HIV,Substance use disorder
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,Depression
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,Depression
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,Depression
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,IPV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,IPV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,IPV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,Suicidality
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,Suicidality
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,Suicidality
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,Sexual compulsivity
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,Sexual compulsivity
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,Sexual compulsivity
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,CSA
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,CSA
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,CSA
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,Alcohol Use Disorder
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,Alcohol Use Disorder
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,Alcohol Use Disorder
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Engagement in HIV care,t,MSM living with HIV,Chemsex
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Healthcare use,f,MSM living with HIV,Chemsex
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Adherence to ART,t,MSM living with HIV,Chemsex
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,,Depression
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,,IPV
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,,Sexual compulsivity
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,,CSA
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Sexual risk behaviors,t,,Polysubstance use
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Depression
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Substance use
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Sexual compulsivity
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Anxiety
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Sexual risk behaviors
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Poor social support
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Loneliness
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Involuntary subordination
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Low self-esteem
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Suicidality,f,,Impulsivity
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Sexual risk behaviors,t,,Depression
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Sexual risk behaviors,t,,Substance use
