refid,title,main_author,publication_year,country,design,condition_name,category,subpopulation_studied
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Anxiety,mental health,
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Poor social support,social,
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Loneliness,social,
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Involuntary subordination,mental health,
74,"Co-Occurring Psychosocial Problems and Multiple Sexual Partners among Men Who Have Sex with Men in Shanghai, China: A Syndemic Approach.",Wang et al.,2018,China,Cross-sectional,Low self-esteem,mental health,
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,Depression,mental health,Latino Men who have Sex with Men and Women
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,CSA,social,Latino Men who have Sex with Men and Women
77,Syndemic Conditions Reinforcing Disparities in HIV and Other STIs in an Urban Sample of Behaviorally Bisexual Latino Men.,Muñoz-Laboy et al.,2018,USA,Cross-sectional,Polysubstance use,social,Latino Men who have Sex with Men and Women
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Depression,mental health,
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,IPV,social,
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Sexual compulsivity,mental health,
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,CSA,social,
82,Syndemic conditions and HIV transmission risk behavior among HIV-negative gay and bisexual men in a U.S. national sample.,Parsons et al.,2017,USA,Cross-sectional,Polysubstance use,social,
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Depression,mental health,
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Sexual compulsivity,mental health,
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Anxiety,mental health,
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Loneliness,social,
87,"Association between a syndemic of psychosocial problems and unprotected anal intercourse among men who have sex with men in Shanghai, China.",Wang et al.,2017,China,Cross-sectional,Low self-esteem,mental health,
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Depression,mental health,
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,CSA,social,
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Polysubstance use,social,
88,Number of Psychosocial Strengths Predicts Reduced HIV Sexual Risk Behaviors Above and Beyond Syndemic Problems Among Gay and Bisexual Men.,Hart et al.,2017,Canada,Longitudinal,Discrimination,structural,
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Depression,mental health,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,IPV,social,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Binge drinking,social,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Suicidality,mental health,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,CSA,social,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Polysubstance use,social,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Alcohol Use Disorder,mental health,Young MSM
92,Prospective Effects of a Syndemic on HIV and STI Incidence and Risk Behaviors in a Cohort of Young Men Who Have Sex with Men.,Mustanski et al.,2017,USA,Longitudinal,Discrimination,structural,Young MSM
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Depression,mental health,MSM living with HIV
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Polysubstance use,social,MSM living with HIV
95,Someone to count on: social support as an effect modifier of viral load suppression in a prospective cohort study.,Friedman et al.,2016,USA,Longitudinal,Sexual risk behaviors,social,MSM living with HIV
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Depression,mental health,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Substance use,social,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,PTSD,mental health,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Sexual compulsivity,mental health,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,CSA,social,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Alcohol Use Disorder,mental health,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Discrimination,structural,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Sexual risk behaviors,social,
96,"Correlates of Sexual Violence Among Men Who Have Sex With Men in Tijuana, Mexico.",Semple et al.,2017,Mexico,Cross-sectional,Hostility,mental health,
99,"Syndemics of depression, alcohol use, and victimisation, and their association with HIV-related sexual risk among men who have sex with men and transgender women in India.",Chakrapani et al.,2017,India,Cross-sectional,Depression,mental health,
99,"Syndemics of depression, alcohol use, and victimisation, and their association with HIV-related sexual risk among men who have sex with men and transgender women in India.",Chakrapani et al.,2017,India,Cross-sectional,Alcohol use,social,
99,"Syndemics of depression, alcohol use, and victimisation, and their association with HIV-related sexual risk among men who have sex with men and transgender women in India.",Chakrapani et al.,2017,India,Cross-sectional,Violence,social,
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Depression,mental health,Latino MSM
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Binge drinking,social,Latino MSM
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,CSA,social,Latino MSM
101,Syndemic factors associated with adult sexual HIV risk behaviors in a sample of Latino men who have sex with men in New York City.,Martinez et al.,2016,USA,Cross-sectional,Discrimination,structural,Latino MSM
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,Substance use,social,Latino MSM
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,IPV,social,Latino MSM
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,Sexual risk behaviors,social,Latino MSM
107,"Disparities Within the Disparity-Determining HIV Risk Factors Among Latino Gay and Bisexual Men Attending a Community-Based Clinic in Los Angeles, CA.",Beymer et al.,2016,USA,Longitudinal,STI,physical health,Latino MSM
109,The Utility of a Syndemic Framework in Understanding Chronic Disease Management Among HIV-Infected and Type 2 Diabetic Men Who Have Sex with Men.,Byg et al.,2016,USA,Cross-sectional,Depression,mental health,MSM living with HIV
109,The Utility of a Syndemic Framework in Understanding Chronic Disease Management Among HIV-Infected and Type 2 Diabetic Men Who Have Sex with Men.,Byg et al.,2016,USA,Cross-sectional,IPV,social,MSM living with HIV
109,The Utility of a Syndemic Framework in Understanding Chronic Disease Management Among HIV-Infected and Type 2 Diabetic Men Who Have Sex with Men.,Byg et al.,2016,USA,Cross-sectional,Substance use disorder,mental health,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Depression,mental health,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,IPV,social,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Suicidality,mental health,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Sexual compulsivity,mental health,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,CSA,social,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Alcohol Use Disorder,mental health,MSM living with HIV
110,"Multiple syndemic psychosocial factors are associated with reduced engagement in HIV care among a multinational, online sample of HIV-infected MSM in Latin America.",Biello et al.,2016,Latin America,Cross-sectional,Chemsex,social,MSM living with HIV
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Depression,mental health,
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,IPV,social,
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Sexual compulsivity,mental health,
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,CSA,social,
114,Linking Syndemic Stress and Behavioral Indicators of Main Partner HIV Transmission Risk in Gay Male Couples.,Starks et al.,2016,USA,Cross-sectional,Polysubstance use,social,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Depression,mental health,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Substance use,social,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Sexual compulsivity,mental health,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Anxiety,mental health,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Sexual risk behaviors,social,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Poor social support,social,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Loneliness,social,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Involuntary subordination,mental health,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Low self-esteem,mental health,
115,"Psychosocial syndemic associated with increased suicidal ideation among men who have sex with men in Shanghai, China.",Li et al.,2016,China,Cross-sectional,Impulsivity,mental health,
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Depression,mental health,
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Substance use,social,
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Sexual compulsivity,mental health,
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Internalised homophobia,mental health,
117,"Outness as a Moderator of the Association Between Syndemic Conditions and HIV Risk-Taking Behavior Among Men Who Have Sex with Men in Tijuana, Mexico.",Pitpitan et al.,2016,Mexico,Cross-sectional,Violence,social,
121,"The syndemic of violence victimisation, drug use, frequent alcohol use, and HIV transmission risk behaviour among men who have sex with men: Cross-sectional, population-based study in India.",Chakrapani et al.,2019,India,Cross-sectional,Substance use,social,
121,"The syndemic of violence victimisation, drug use, frequent alcohol use, and HIV transmission risk behaviour among men who have sex with men: Cross-sectional, population-based study in India.",Chakrapani et al.,2019,India,Cross-sectional,Alcohol use,social,
121,"The syndemic of violence victimisation, drug use, frequent alcohol use, and HIV transmission risk behaviour among men who have sex with men: Cross-sectional, population-based study in India.",Chakrapani et al.,2019,India,Cross-sectional,Violence,social,
124,Syndemic Indicators Predict Poor Medication Adherence and Increased Health Care Utilization for Urban HIV-Positive Men Who Have Sex with Men.,Pantalone et al.,2018,USA,Cross-sectional,IPV,social,MSM living with HIV
124,Syndemic Indicators Predict Poor Medication Adherence and Increased Health Care Utilization for Urban HIV-Positive Men Who Have Sex with Men.,Pantalone et al.,2018,USA,Cross-sectional,Suicidality,mental health,MSM living with HIV
124,Syndemic Indicators Predict Poor Medication Adherence and Increased Health Care Utilization for Urban HIV-Positive Men Who Have Sex with Men.,Pantalone et al.,2018,USA,Cross-sectional,CSA,social,MSM living with HIV
124,Syndemic Indicators Predict Poor Medication Adherence and Increased Health Care Utilization for Urban HIV-Positive Men Who Have Sex with Men.,Pantalone et al.,2018,USA,Cross-sectional,Polysubstance use,social,MSM living with HIV
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,Depression,mental health,
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,IPV,social,
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,Suicidality,mental health,
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,Sexual compulsivity,mental health,
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,CSA,social,
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,Alcohol Use Disorder,mental health,
135,High prevalence of multiple syndemic conditions associated with sexual risk behavior and HIV infection among a large sample of Spanish- and Portuguese-speaking men who have sex with men in Latin America.,Mimiaga et al.,2015,Latin America,Cross-sectional,Chemsex,social,
140,"Retrospective reports of developmental stressors, syndemics, and their association with sexual risk outcomes among gay men.",Tulloch et al.,2015,Canada,Cross-sectional,Depression,mental health,
140,"Retrospective reports of developmental stressors, syndemics, and their association with sexual risk outcomes among gay men.",Tulloch et al.,2015,Canada,Cross-sectional,IPV,social,
140,"Retrospective reports of developmental stressors, syndemics, and their association with sexual risk outcomes among gay men.",Tulloch et al.,2015,Canada,Cross-sectional,Polysubstance use,social,
141,Syndemic production and sexual compulsivity/hypersexuality in highly sexually active gay and bisexual men: further evidence for a three group conceptualization.,Parsons et al.,2015,USA,Cross-sectional,Depression,mental health,
141,Syndemic production and sexual compulsivity/hypersexuality in highly sexually active gay and bisexual men: further evidence for a three group conceptualization.,Parsons et al.,2015,USA,Cross-sectional,IPV,social,
141,Syndemic production and sexual compulsivity/hypersexuality in highly sexually active gay and bisexual men: further evidence for a three group conceptualization.,Parsons et al.,2015,USA,Cross-sectional,Sexual compulsivity,mental health,
141,Syndemic production and sexual compulsivity/hypersexuality in highly sexually active gay and bisexual men: further evidence for a three group conceptualization.,Parsons et al.,2015,USA,Cross-sectional,CSA,social,
141,Syndemic production and sexual compulsivity/hypersexuality in highly sexually active gay and bisexual men: further evidence for a three group conceptualization.,Parsons et al.,2015,USA,Cross-sectional,Polysubstance use,social,
141,Syndemic production and sexual compulsivity/hypersexuality in highly sexually active gay and bisexual men: further evidence for a three group conceptualization.,Parsons et al.,2015,USA,Cross-sectional,Hypersexuality,mental health,
142,A mixed methods study of health and social disparities among substance-using African American/Black men who have sex with men.,Buttram et al.,2015,USA,Mixed,Substance use disorder,mental health,Black MSM
142,A mixed methods study of health and social disparities among substance-using African American/Black men who have sex with men.,Buttram et al.,2015,USA,Mixed,Violence,social,Black MSM
142,A mixed methods study of health and social disparities among substance-using African American/Black men who have sex with men.,Buttram et al.,2015,USA,Mixed,General mental distress,mental health,Black MSM
143,Effects of syndemics on HIV viral load and medication adherence in the multicentre AIDS cohort study.,Friedman et al.,2015,USA,Longitudinal,Depression,mental health,MSM living with HIV
143,Effects of syndemics on HIV viral load and medication adherence in the multicentre AIDS cohort study.,Friedman et al.,2015,USA,Longitudinal,Polysubstance use,social,MSM living with HIV
143,Effects of syndemics on HIV viral load and medication adherence in the multicentre AIDS cohort study.,Friedman et al.,2015,USA,Longitudinal,Sexual risk behaviors,social,MSM living with HIV
144,"Drug Use, Sexual Risk, and Syndemic Production Among Men Who Have Sex With Men Who Engage in Group Sexual Encounters.",Hirshfield et al.,2015,USA,Cross-sectional,Depression,mental health,
144,"Drug Use, Sexual Risk, and Syndemic Production Among Men Who Have Sex With Men Who Engage in Group Sexual Encounters.",Hirshfield et al.,2015,USA,Cross-sectional,Polysubstance use,social,
144,"Drug Use, Sexual Risk, and Syndemic Production Among Men Who Have Sex With Men Who Engage in Group Sexual Encounters.",Hirshfield et al.,2015,USA,Cross-sectional,Incarceration,structural,
144,"Drug Use, Sexual Risk, and Syndemic Production Among Men Who Have Sex With Men Who Engage in Group Sexual Encounters.",Hirshfield et al.,2015,USA,Cross-sectional,Alcohol use,social,
148,The effect of psychosocial syndemic production on 4-year HIV incidence and risk behavior in a large cohort of sexually active men who have sex with men.,Mimiaga et al.,2015,USA,Longitudinal,Depression,mental health,
148,The effect of psychosocial syndemic production on 4-year HIV incidence and risk behavior in a large cohort of sexually active men who have sex with men.,Mimiaga et al.,2015,USA,Longitudinal,Substance use,social,
148,The effect of psychosocial syndemic production on 4-year HIV incidence and risk behavior in a large cohort of sexually active men who have sex with men.,Mimiaga et al.,2015,USA,Longitudinal,Binge drinking,social,
148,The effect of psychosocial syndemic production on 4-year HIV incidence and risk behavior in a large cohort of sexually active men who have sex with men.,Mimiaga et al.,2015,USA,Longitudinal,CSA,social,
148,The effect of psychosocial syndemic production on 4-year HIV incidence and risk behavior in a large cohort of sexually active men who have sex with men.,Mimiaga et al.,2015,USA,Longitudinal,Polysubstance use,social,
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,Depression,mental health,Young MSM
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,Substance use,social,Young MSM
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,PTSD,mental health,Young MSM
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,Suicidality,mental health,Young MSM
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,Alcohol use,social,Young MSM
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,Sexual risk behaviors,social,Young MSM
149,"A Longitudinal Investigation of Syndemic Conditions Among Young Gay, Bisexual, and Other MSM: The P18 Cohort Study.",Halkitis et al.,2015,USA,Longitudinal,Loneliness,social,Young MSM
153,Pathways towards risk: syndemic conditions mediate the effect of adversity on HIV risk behaviors among young men who have sex with men (YMSM).,Herrick et al.,2014,USA,Longitudinal,Depression,mental health,Young MSM
153,Pathways towards risk: syndemic conditions mediate the effect of adversity on HIV risk behaviors among young men who have sex with men (YMSM).,Herrick et al.,2014,USA,Longitudinal,Substance use,social,Young MSM
153,Pathways towards risk: syndemic conditions mediate the effect of adversity on HIV risk behaviors among young men who have sex with men (YMSM).,Herrick et al.,2014,USA,Longitudinal,Binge drinking,social,Young MSM
154,Syndemic factors associated with HIV risk for gay and bisexual men: comparing latent class and latent factor modeling.,Starks,2014,USA,Cross-sectional,Depression,mental health,
154,Syndemic factors associated with HIV risk for gay and bisexual men: comparing latent class and latent factor modeling.,Starks,2014,USA,Cross-sectional,IPV,social,
154,Syndemic factors associated with HIV risk for gay and bisexual men: comparing latent class and latent factor modeling.,Starks,2014,USA,Cross-sectional,Sexual compulsivity,mental health,
154,Syndemic factors associated with HIV risk for gay and bisexual men: comparing latent class and latent factor modeling.,Starks,2014,USA,Cross-sectional,CSA,social,
154,Syndemic factors associated with HIV risk for gay and bisexual men: comparing latent class and latent factor modeling.,Starks,2014,USA,Cross-sectional,Polysubstance use,social,
155,"Psychosocial health conditions and HIV prevalence and incidence in a cohort of men who have sex with men in Bangkok, Thailand: evidence of a syndemic effect.",Guadamuz et al.,2014,Thailand,Longitudinal,Substance use,social,
155,"Psychosocial health conditions and HIV prevalence and incidence in a cohort of men who have sex with men in Bangkok, Thailand: evidence of a syndemic effect.",Guadamuz et al.,2014,Thailand,Longitudinal,Suicidality,mental health,
155,"Psychosocial health conditions and HIV prevalence and incidence in a cohort of men who have sex with men in Bangkok, Thailand: evidence of a syndemic effect.",Guadamuz et al.,2014,Thailand,Longitudinal,Alcohol use,social,
155,"Psychosocial health conditions and HIV prevalence and incidence in a cohort of men who have sex with men in Bangkok, Thailand: evidence of a syndemic effect.",Guadamuz et al.,2014,Thailand,Longitudinal,Exchange sex,social,
155,"Psychosocial health conditions and HIV prevalence and incidence in a cohort of men who have sex with men in Bangkok, Thailand: evidence of a syndemic effect.",Guadamuz et al.,2014,Thailand,Longitudinal,Poor social support,social,
155,"Psychosocial health conditions and HIV prevalence and incidence in a cohort of men who have sex with men in Bangkok, Thailand: evidence of a syndemic effect.",Guadamuz et al.,2014,Thailand,Longitudinal,Violence,social,
157,Optimism and education buffer the effects of syndemic conditions on HIV status among African American men who have sex with men.,O'Leary et al.,2014,USA,Cross-sectional,Depression,mental health,Black MSM
157,Optimism and education buffer the effects of syndemic conditions on HIV status among African American men who have sex with men.,O'Leary et al.,2014,USA,Cross-sectional,IPV,social,Black MSM
157,Optimism and education buffer the effects of syndemic conditions on HIV status among African American men who have sex with men.,O'Leary et al.,2014,USA,Cross-sectional,CSA,social,Black MSM
157,Optimism and education buffer the effects of syndemic conditions on HIV status among African American men who have sex with men.,O'Leary et al.,2014,USA,Cross-sectional,Alcohol Use Disorder,mental health,Black MSM
157,Optimism and education buffer the effects of syndemic conditions on HIV status among African American men who have sex with men.,O'Leary et al.,2014,USA,Cross-sectional,Substance use disorder,mental health,Black MSM
161,Syndemic conditions associated with increased HIV risk in a global sample of men who have sex with men.,Santos et al.,2014,International,Cross-sectional,Depression,mental health,
161,Syndemic conditions associated with increased HIV risk in a global sample of men who have sex with men.,Santos et al.,2014,International,Cross-sectional,Substance use,social,
161,Syndemic conditions associated with increased HIV risk in a global sample of men who have sex with men.,Santos et al.,2014,International,Cross-sectional,Unstable housing,structural,
161,Syndemic conditions associated with increased HIV risk in a global sample of men who have sex with men.,Santos et al.,2014,International,Cross-sectional,Discrimination,structural,
161,Syndemic conditions associated with increased HIV risk in a global sample of men who have sex with men.,Santos et al.,2014,International,Cross-sectional,Poor healthcare access,structural,
161,Syndemic conditions associated with increased HIV risk in a global sample of men who have sex with men.,Santos et al.,2014,International,Cross-sectional,Violence,social,
163,A syndemic of psychosocial health disparities and associations with risk for attempting suicide among young sexual minority men.,Mustanski,2014,USA,Cross-sectional,Depression,mental health,Young MSM
163,A syndemic of psychosocial health disparities and associations with risk for attempting suicide among young sexual minority men.,Mustanski,2014,USA,Cross-sectional,Substance use,social,Young MSM
163,A syndemic of psychosocial health disparities and associations with risk for attempting suicide among young sexual minority men.,Mustanski,2014,USA,Cross-sectional,IPV,social,Young MSM
163,A syndemic of psychosocial health disparities and associations with risk for attempting suicide among young sexual minority men.,Mustanski,2014,USA,Cross-sectional,Binge drinking,social,Young MSM
163,A syndemic of psychosocial health disparities and associations with risk for attempting suicide among young sexual minority men.,Mustanski,2014,USA,Cross-sectional,Sexual risk behaviors,social,Young MSM
164,"Evidence of a syndemic among young Canadian gay and bisexual men: uncovering the associations between anti-gay experiences, psychosocial issues, and HIV risk.",Ferlatte et al.,2014,Canada,Cross-sectional,Depression,mental health,
